STATUS | wrapper  | 2018/01/22 19:08:57 | --> Wrapper Started as Console
STATUS | wrapper  | 2018/01/22 19:08:58 | Launching a JVM...
INFO   | jvm 1    | 2018/01/22 19:09:00 | Wrapper (Version 3.2.3) http://wrapper.tanukisoftware.org
INFO   | jvm 1    | 2018/01/22 19:09:00 |   Copyright 1999-2006 Tanuki Software, Inc.  All Rights Reserved.
INFO   | jvm 1    | 2018/01/22 19:09:00 | 
INFO   | jvm 1    | 2018/01/22 19:09:00 | Java Runtime: Oracle Corporation 1.8.0_111 D:\ProgramFiles\Java8\Java\jdk1.8.0_111\jre
INFO   | jvm 1    | 2018/01/22 19:09:00 |   Heap sizes: current=249344k  free=235030k  max=932352k
INFO   | jvm 1    | 2018/01/22 19:09:00 |     JVM args: -Dactivemq.home=../.. -Dactivemq.base=../.. -Djavax.net.ssl.keyStorePassword=password -Djavax.net.ssl.trustStorePassword=password -Djavax.net.ssl.keyStore=../../conf/broker.ks -Djavax.net.ssl.trustStore=../../conf/broker.ts -Dcom.sun.management.jmxremote -Dorg.apache.activemq.UseDedicatedTaskRunner=true -Djava.util.logging.config.file=logging.properties -Dactivemq.conf=../../conf -Dactivemq.data=../../data -Djava.security.auth.login.config=../../conf/login.config -Xmx1024m -Djava.library.path=../../bin/win64 -Dwrapper.key=c6gSj0UNvwqZtnL3 -Dwrapper.port=32000 -Dwrapper.jvm.port.min=31000 -Dwrapper.jvm.port.max=31999 -Dwrapper.pid=6244 -Dwrapper.version=3.2.3 -Dwrapper.native_library=wrapper -Dwrapper.cpu.timeout=10 -Dwrapper.jvmid=1 -Djava.net.preferIPv4Stack=true
INFO   | jvm 1    | 2018/01/22 19:09:00 | Extensions classpath:
INFO   | jvm 1    | 2018/01/22 19:09:00 |   [..\..\lib,..\..\lib\camel,..\..\lib\optional,..\..\lib\web,..\..\lib\extra]
INFO   | jvm 1    | 2018/01/22 19:09:00 | ACTIVEMQ_HOME: ..\..
INFO   | jvm 1    | 2018/01/22 19:09:00 | ACTIVEMQ_BASE: ..\..
INFO   | jvm 1    | 2018/01/22 19:09:00 | ACTIVEMQ_CONF: ..\..\conf
INFO   | jvm 1    | 2018/01/22 19:09:00 | ACTIVEMQ_DATA: ..\..\data
INFO   | jvm 1    | 2018/01/22 19:09:00 | Loading message broker from: xbean:activemq.xml
INFO   | jvm 1    | 2018/01/22 19:09:00 |  INFO | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@7f48b7a4: startup date [Mon Jan 22 19:09:00 IST 2018]; root of context hierarchy
INFO   | jvm 1    | 2018/01/22 19:09:02 |  INFO | Using Persistence Adapter: KahaDBPersistenceAdapter[D:\SpringJMS\apache-activemq-5.15.2\bin\win64\..\..\data\kahadb]
INFO   | jvm 1    | 2018/01/22 19:09:02 |  INFO | PListStore:[D:\SpringJMS\apache-activemq-5.15.2\bin\win64\..\..\data\localhost\tmp_storage] started
INFO   | jvm 1    | 2018/01/22 19:09:03 |  INFO | Apache ActiveMQ 5.15.2 (localhost, ID:TL68-57964-1516628342793-0:1) is starting
INFO   | jvm 1    | 2018/01/22 19:09:03 |  INFO | Listening for connections at: tcp://TL68:61616?maximumConnections=1000&wireFormat.maxFrameSize=104857600
INFO   | jvm 1    | 2018/01/22 19:09:03 |  INFO | Connector openwire started
INFO   | jvm 1    | 2018/01/22 19:09:03 |  INFO | Listening for connections at: amqp://TL68:5672?maximumConnections=1000&wireFormat.maxFrameSize=104857600
INFO   | jvm 1    | 2018/01/22 19:09:03 |  INFO | Connector amqp started
INFO   | jvm 1    | 2018/01/22 19:09:03 |  INFO | Listening for connections at: stomp://TL68:61613?maximumConnections=1000&wireFormat.maxFrameSize=104857600
INFO   | jvm 1    | 2018/01/22 19:09:03 |  INFO | Connector stomp started
INFO   | jvm 1    | 2018/01/22 19:09:03 |  INFO | Listening for connections at: mqtt://TL68:1883?maximumConnections=1000&wireFormat.maxFrameSize=104857600
INFO   | jvm 1    | 2018/01/22 19:09:03 |  INFO | Connector mqtt started
INFO   | jvm 1    | 2018/01/22 19:09:03 |  WARN | ServletContext@o.e.j.s.ServletContextHandler@76c9d429{/,null,STARTING} has uncovered http methods for path: /
INFO   | jvm 1    | 2018/01/22 19:09:03 |  INFO | Listening for connections at ws://TL68:61614?maximumConnections=1000&wireFormat.maxFrameSize=104857600
INFO   | jvm 1    | 2018/01/22 19:09:03 |  INFO | Connector ws started
INFO   | jvm 1    | 2018/01/22 19:09:03 |  INFO | Apache ActiveMQ 5.15.2 (localhost, ID:TL68-57964-1516628342793-0:1) started
INFO   | jvm 1    | 2018/01/22 19:09:03 |  INFO | For help or more information please see: http://activemq.apache.org
INFO   | jvm 1    | 2018/01/22 19:09:04 |  INFO | No Spring WebApplicationInitializer types detected on classpath
INFO   | jvm 1    | 2018/01/22 19:09:04 |  INFO | ActiveMQ WebConsole available at http://0.0.0.0:8161/
INFO   | jvm 1    | 2018/01/22 19:09:04 |  INFO | ActiveMQ Jolokia REST API available at http://0.0.0.0:8161/api/jolokia/
INFO   | jvm 1    | 2018/01/22 19:09:04 |  INFO | Initializing Spring FrameworkServlet 'dispatcher'
INFO   | jvm 1    | 2018/01/22 19:09:04 |  INFO | No Spring WebApplicationInitializer types detected on classpath
INFO   | jvm 1    | 2018/01/22 19:09:05 |  INFO | jolokia-agent: Using policy access restrictor classpath:/jolokia-access.xml
INFO   | jvm 1    | 2018/01/22 19:18:28 |  INFO | Connector vm://localhost started
